gutenberg_id,text
5314,"heaven with her. There the child fared well, ate sugar-cakes, and drank"
5314,"sweet milk, and her clothes were of gold, and the little angels played"
5314,"with her. And when she was fourteen years of age, the Virgin Mary"
5314,"called her one day and said, “Dear child, I am about to make a long"
5314,"journey, so take into thy keeping the keys of the thirteen doors of"
5314,"heaven. Twelve of these thou mayest open, and behold the glory which is"
5314,"within them, but the thirteenth, to which this little key belongs, is"
5314,"forbidden thee. Beware of opening it, or thou wilt bring misery on"
5314,"thyself.” The girl promised to be obedient, and when the Virgin Mary"
5314,"was gone, she began to examine the dwellings of the kingdom of heaven."
5314,"Each day she opened one of them, until she had made the round of the"
5314,twelve. In each of them sat one of the Apostles in the midst of a great
5314,"light, and she rejoiced in all the magnificence and splendour, and the"
5314,little angels who always accompanied her rejoiced with her. Then the
5314,"forbidden door alone remained, and she felt a great desire to know what"
5314,"could be hidden behind it, and said to the angels, “I will not quite"
5314,"open it, and I will not go inside it, but I will unlock it so that we"
5314,"can just see a little through the opening.” “Oh no,” said the little"
5314,"angels, “that would be a sin. The Virgin Mary has forbidden it, and it"
5314,"might easily cause thy unhappiness.” Then she was silent, but the"
5314,"desire in her heart was not stilled, but gnawed there and tormented"
5314,"her, and let her have no rest. And once when the angels had all gone"
5314,"out, she thought, “Now I am quite alone, and I could peep in. If I do"
5314,"it, no one will ever know.” She sought out the key, and when she had"
5314,"got it in her hand, she put it in the lock, and when she had put it in,"
5314,"she turned it round as well. Then the door sprang open, and she saw"
5314,there the Trinity sitting in fire and splendour. She stayed there
5314,"awhile, and looked at everything in amazement; then she touched the"
5314,"light a little with her finger, and her finger became quite golden."
5314,"Immediately a great fear fell on her. She shut the door violently, and"
5314,"ran away. Her terror too would not quit her, let her do what she might,"
5314,and her heart beat continually and would not be still; the gold too
5314,"stayed on her finger, and would not go away, let her rub it and wash it"
5314,never so much.
5314,It was not long before the Virgin Mary came back from her journey. She
5314,"called the girl before her, and asked to have the keys of heaven back."
5314,"When the maiden gave her the bunch, the Virgin looked into her eyes and"
5314,"said, “Hast thou not opened the thirteenth door also?” “No,” she"
5314,"replied. Then she laid her hand on the girl’s heart, and felt how it"
5314,"beat and beat, and saw right well that she had disobeyed her order and"
5314,"had opened the door. Then she said once again, “Art thou certain that"
5314,"thou hast not done it?” “Yes,” said the girl, for the second time. Then"
5314,she perceived the finger which had become golden from touching the fire
5314,"of heaven, and saw well that the child had sinned, and said for the"
5314,"third time “Hast thou not done it?” “No,” said the girl for the third"
5314,"time. Then said the Virgin Mary, “Thou hast not obeyed me, and besides"
5314,"that thou hast lied, thou art no longer worthy to be in heaven.”"
5314,"Then the girl fell into a deep sleep, and when she awoke she lay on the"
5314,"earth below, and in the midst of a wilderness. She wanted to cry out,"
5314,but she could bring forth no sound. She sprang up and wanted to run
5314,"away, but whithersoever she turned herself, she was continually held"
5314,back by thick hedges of thorns through which she could not break. In
